Date,Open,High,Low,Close,Adj Close,Volume
2017-05-15,2446.482666,2453.376709,2301.063965,2343.845215,2343.845215,986286941
2017-05-16,2348.253906,2404.334961,2276.339600,2337.533691,2337.533691,1292513466
2017-05-17,2327.129395,2518.646240,2241.885986,2474.888916,2474.888916,1432821941
2017-05-18,2447.449707,2568.761719,2421.763672,2545.350342,2545.350342,1205284399
2017-05-19,2557.102539,2687.384277,2548.537109,2664.847900,2664.847900,1551535037
2017-05-20,2660.195801,2794.918945,2647.700928,2794.918945,2794.918945,1288826921
2017-05-21,2771.189209,2840.970703,2733.064941,2740.233643,2740.233643,1540958475
2017-05-22,2742.905029,3092.483154,2711.097656,2909.504639,2909.504639,2600026817
2017-05-23,2933.815430,3106.438232,2914.771240,3107.150391,3107.150391,1846210434
2017-05-24,3108.422852,3364.062988,3105.927490,3260.795166,3260.795166,2302348503
2017-05-25,3264.264648,3701.727783,3065.459473,3092.687500,3092.687500,3229169505
2017-05-26,3114.034424,3461.721680,2781.941406,2957.856445,2957.856445,2368358936
2017-05-27,2949.597168,3035.455322,2492.385010,2738.208496,2738.208496,2283749664
2017-05-28,2758.635498,3045.044434,2758.635498,2897.580811,2897.580811,1541854796
2017-05-29,2902.459473,3103.376465,2832.217529,3032.957031,3032.957031,1337400866
2017-05-30,3032.620850,3097.362793,2847.949219,2917.352783,2917.352783,1936395398
2017-05-31,2933.069580,3110.052490,2879.959717,3080.169678,3080.169678,2081139636
2017-06-01,3082.756348,3314.457764,3082.341064,3262.709961,3262.709961,2240081344
2017-06-02,3257.493164,3347.074707,3213.268555,3347.074707,3347.074707,1771392086
2017-06-03,3354.028320,3472.642822,3259.677246,3383.120605,3383.120605,2037592490
2017-06-04,3426.751953,3477.995850,3298.641602,3382.909180,3382.909180,1825077441
2017-06-05,3383.703613,3589.113037,3380.767578,3589.113037,3589.113037,1829161037
2017-06-06,3594.496582,4021.865967,3594.976807,3813.532227,3813.532227,2783177922
2017-06-07,3821.763184,3821.763184,3579.270996,3624.034912,3624.034912,2013144916
2017-06-08,3608.555420,3729.862305,3545.665771,3727.903320,3727.903320,1702325336
2017-06-09,3730.321533,3855.580566,3714.616211,3752.072998,3752.072998,1792386415
2017-06-10,3757.826172,3921.060303,3649.415527,3916.702148,3916.702148,2682553792
2017-06-11,3909.659668,3981.663574,3774.289063,3930.520996,3930.520996,2328461334
2017-06-12,3924.023438,3980.425049,3345.589844,3524.555908,3524.555908,3405155197
2017-06-13,3552.756348,3697.520996,3507.649414,3606.344482,3606.344482,2364215556
2017-06-14,3606.158691,3690.676758,3178.685303,3303.506104,3303.506104,2236140767
2017-06-15,3294.556641,3328.575195,2921.784912,3248.853271,3248.853271,2671051896
2017-06-16,3255.431152,3332.790771,3140.834717,3306.932861,3306.932861,1569314622
2017-06-17,3300.958496,3525.722168,3262.815186,3487.237305,3487.237305,2014850252
2017-06-18,3486.541504,3495.404541,3304.438721,3345.529785,3345.529785,1547407074
2017-06-19,3346.501221,3506.980225,3347.380127,3411.857910,3411.857910,1906245144
2017-06-20,3414.044922,3648.600342,3411.248779,3594.071045,3594.071045,2448421962
2017-06-21,3577.749756,3669.592285,3523.708496,3563.610107,3563.610107,2155552568
2017-06-22,3566.167480,3609.514893,3498.424561,3588.076904,3588.076904,1456153804
2017-06-23,3590.636719,3651.835693,3588.398438,3628.433350,3628.433350,1270745507
2017-06-24,3619.986816,3645.657471,3414.659424,3448.406982,3448.406982,1299074707
2017-06-25,3446.463867,3545.617920,3374.927490,3421.072754,3421.072754,1534020388
2017-06-26,3422.605469,3450.653076,3134.947266,3268.429199,3268.429199,2193432678
2017-06-27,3268.429199,3365.128418,3074.173096,3365.128418,3365.128418,1964126502
2017-06-28,3365.893311,3408.350830,3267.253906,3372.792725,3372.792725,1550785895
2017-06-29,3363.322021,3374.827393,3279.101318,3305.115234,3305.115234,1236468838
2017-06-30,3305.010986,3329.755371,3224.603027,3227.738770,3227.738770,1119272735
2017-07-01,3243.039307,3272.534424,3147.580078,3167.512451,3167.512451,1014720250
2017-07-02,3169.919189,3270.395508,3115.847168,3261.509277,3261.509277,1045864682
2017-07-03,3251.216797,3392.600342,3234.833008,3345.589844,3345.589844,1257974948
2017-07-04,3341.597168,3458.522949,3338.572998,3418.262939,3418.262939,1294857485
2017-07-05,3419.879395,3449.947266,3334.493652,3424.572266,3424.572266,1239228765
2017-07-06,3432.614014,3452.592773,3400.540039,3442.734619,3442.734619,1005618308
2017-07-07,3442.774414,3837.026123,3285.825195,3311.847412,3311.847412,1206327374
2017-07-08,3313.964600,3381.117920,3277.199219,3381.117920,3381.117920,964273483
2017-07-09,3382.787842,3465.469971,3311.311523,3311.993652,3311.993652,694182009
2017-07-10,3320.949463,3343.647705,3052.511719,3119.737061,3119.737061,1461143984
2017-07-11,3137.264893,3173.113281,3012.604980,3061.136719,3061.136719,1741207280
2017-07-12,3054.563232,3157.928223,2969.381104,3123.896484,3123.896484,1455150473
2017-07-13,3128.922852,3154.142334,3029.808594,3046.775879,3046.775879,1079945709
2017-07-14,3050.252197,3055.663330,2788.988281,2853.014893,2853.014893,1127367113
2017-07-15,2848.901611,2850.204346,2542.680176,2553.474609,2553.474609,1269299949
2017-07-16,2544.685791,2630.007568,2354.407227,2467.169434,2467.169434,1512234743
2017-07-17,2470.749268,2862.538574,2471.065186,2861.705322,2861.705322,1543290099
2017-07-18,2868.267578,3016.182617,2773.568359,2928.618164,2928.618164,1910141510
2017-07-19,2933.922852,3026.729736,2852.025146,2856.426514,2856.426514,1564392552
2017-07-20,2851.978760,3649.138184,2851.620361,3545.935303,3545.935303,2830682144
2017-07-21,3572.124268,3570.326904,3312.926514,3372.215820,3372.215820,1882758165
2017-07-22,3373.315430,3618.278320,3359.511963,3552.167969,3552.167969,1487966103
2017-07-23,3549.614502,3580.052979,3354.746582,3445.299561,3445.299561,1353741325
2017-07-24,3448.201904,3494.287842,3402.912109,3477.480469,3477.480469,1093756607
2017-07-25,3480.812988,3485.369141,3125.815674,3249.029053,3249.029053,1841223183
2017-07-26,3250.655762,3291.842041,3095.617188,3162.998535,3162.998535,1172194613
2017-07-27,3174.577881,3380.170654,3159.700195,3350.614502,3350.614502,989596188
2017-07-28,3360.584473,3628.161621,3361.849121,3517.417969,3517.417969,1728149221
2017-07-29,3514.926025,3517.104980,3371.900879,3414.037109,3414.037109,1006443757
2017-07-30,3411.457520,3454.207520,3311.858398,3455.978760,3455.978760,884862091
2017-07-31,3463.574707,3612.476807,3410.995605,3593.276855,3593.276855,1075449858
2017-08-01,3588.228027,3643.489746,3370.494629,3417.905273,3417.905273,1665622975
2017-08-02,3429.058105,3473.569824,3345.355469,3407.933105,3407.933105,1376602987
2017-08-03,3406.537598,3538.309814,3389.900146,3524.858643,3524.858643,1011432691
2017-08-04,3527.623291,3659.846191,3455.131592,3655.503418,3655.503418,1264983590
2017-08-05,3657.699951,4153.004395,3628.919678,4106.172363,4106.172363,2456071659
2017-08-06,4112.105469,4157.144531,3983.337646,4054.933105,4054.933105,1394183719
2017-08-07,4053.469727,4299.228027,4007.672852,4269.572754,4269.572754,1872984503
2017-08-08,4258.554199,4396.177734,4226.667480,4331.779297,4331.779297,2220088745
2017-08-09,4332.362305,4341.400391,4128.219238,4235.263672,4235.263672,1861327927
2017-08-10,4234.465332,4394.261230,4215.200195,4298.055176,4298.055176,1925905702
2017-08-11,4288.572754,4664.368164,4285.322266,4627.481445,4627.481445,2562035766
2017-08-12,4627.493652,5006.870117,4580.682129,4924.210938,4924.210938,2813525020
2017-08-13,4918.291504,5334.503906,4890.100098,5155.372559,5155.372559,3998341881
2017-08-14,5146.310547,5507.614746,5045.737305,5507.614746,5507.614746,3136495505
